district_name,state_name,year,season,crop,crop_area,crop_production,yield,crop_type,avg_temp,total_precip,avg_humidity,avg_windspeed,district_x,state_x,data_points,district_y,state_y,loamy_alfisols_level,ustalf/ustolls_level,loamy_alfisol_level,vertisols_level,vertic_soils_level,inceptisols_level,verrtisols_level,orthids_level,sandy_alfisol_level,sandy_alfisols_level,vertic_sols_level,udupts/udalfs_level,vrtic_soils_level,verti_sols_level,pssaments_level,vertic_osils_level,pssamnets_level,udolls/udalfs_level,innceptisols_level,crop_code,area_unit,production_unit,yield_unit
Tuensang,Nagaland,2018,rabi,peas & beans (pulses),830.0,920.0,1.11,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,Hectare,Tonnes,Tonnes/Hectare
Jhunjhunu,Rajasthan,2016,rabi,other oilseeds,431.0,160.0,0.37,Oilseeds,20.704699,33.16,29.211475,1.574317,Jhunjhunu,Rajasthan,183.0,Jhunjhunu,Rajasthan,,,,,,moderate,,,,,,,,,,,moderate,,,1088,Hectare,Tonnes,Tonnes/Hectare
Latehar,Jharkhand,2015,rabi,peas & beans (pulses),138.0,62.0,0.45,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,Hectare,Tonnes,Tonnes/Hectare
Davangere,Karnataka,2015,rabi,horse-gram,416.0,273.0,0.66,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,Hectare,Tonnes,Tonnes/Hectare
Pashchim Medinipur,West Bengal,2019,kharif,rice,31725.0,75914.0,2.39,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Karnal,Haryana,2019,rabi,peas & beans (pulses),205.0,205.0,1.0,Pulses,17.260714,142.84,54.182858,1.803077,Karnal,Haryana,182.0,Karnal,Haryana,,,,,,high_extreme,,,,,,,,,,,,,,213,Hectare,Tonnes,Tonnes/Hectare
Narsinghpur,Madhya Pradesh,2017,kharif,small millets,40.0,40.0,1.0,Cereals,29.521215,878.44,58.77145,2.3762617,Narsinghpur,Madhya Pradesh,214.0,Narsinghpur,Madhya Pradesh,,,,high_extreme,low,,,,,,,,,,,,,,,108,Hectare,Tonnes,Tonnes/Hectare
Ariyalur,Tamil Nadu,2017,kharif,groundnut,3171.0,10467.0,3.3,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,Hectare,Tonnes,Tonnes/Hectare
Kanchipuram,Tamil Nadu,2019,kharif,bajra,1.0,3.0,3.0,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,Hectare,Tonnes,Tonnes/Hectare
Papum Pare,Arunachal Pradesh,2017,kharif,urad,51.0,40.0,0.78,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Hectare,Tonnes,Tonnes/Hectare
Surguja,Chhattisgarh,2019,rabi,barley,87.0,61.0,0.7,Cereals,16.370667,43.7,63.69725,1.4200833,Surguja,Chhattisgarh,120.0,Surguja,Chhattisgarh,,high_extreme,,,,,,,,,,,,,,,,,,107,Hectare,Tonnes,Tonnes/Hectare
Etawah,Uttar Pradesh,2019,rabi,coriander,17.0,12.0,0.71,Spices,19.285,74.27,56.067856,1.5074725,Etawah,Uttar Pradesh,182.0,Etawah,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,509,Hectare,Tonnes,Tonnes/Hectare
Kolhapur,Maharashtra,2018,whole_year,tobacco,460.0,803.0,1.75,Drugs And Narcotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302,Hectare,Tonnes,Tonnes/Hectare
Mancherial,Telangana,2019,kharif,cotton(lint),73114.0,210425.0,2.88,Fiber Crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,Hectare,Tonnes,Tonnes/Hectare
Koraput,Odisha,2019,kharif,other kharif pulses,11580.0,5190.0,0.45,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Karimnagar,Telangana,2015,rabi,rice,54053.0,172699.0,3.19,Cereals,26.108736,66.14,47.950054,1.7535714,Karimnagar,Telangana,182.0,Karimnagar,Telangana,,,,low,,,,,,,extreme,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Banda,Uttar Pradesh,2018,rabi,masoor,29824.0,29496.0,0.99,Pulses,21.750769,10.74,41.75022,1.4905494,Banda,Uttar Pradesh,182.0,Banda,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Kohima,Nagaland,2019,kharif,sugarcane,230.0,10023.0,43.58,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Hectare,Tonnes,Tonnes/Hectare
Dima Hasao,Assam,2016,whole_year,ginger,4346.0,39188.0,9.02,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,Hectare,Tonnes,Tonnes/Hectare
Kadapa,Andhra Pradesh,2016,rabi,small millets,397.0,168.0,0.42,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,Hectare,Tonnes,Tonnes/Hectare
Kendujhar,Odisha,2017,zaid,maize,3.0,9.4,3.13,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Hectare,Tonnes,Tonnes/Hectare
Tumakuru,Karnataka,2018,rabi,horse-gram,7468.0,3193.0,0.43,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,Hectare,Tonnes,Tonnes/Hectare
Bangalore Rural,Karnataka,2015,whole_year,sweet potato,16.0,254.0,15.88,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,Hectare,Tonnes,Tonnes/Hectare
Lalitpur,Uttar Pradesh,2018,rabi,barley,9798.0,32529.0,3.32,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Hectare,Tonnes,Tonnes/Hectare
Amroha,Uttar Pradesh,2017,rabi,wheat,90058.0,333755.0,3.71,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Gir Somnath,Gujarat,2016,whole_year,garlic,635.0,3247.0,5.11,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,Hectare,Tonnes,Tonnes/Hectare
Adilabad,Telangana,2018,rabi,tobacco,75.0,202.0,2.69,Drugs And Narcotics,22.884583,23.96,40.969166,1.61525,Adilabad,Telangana,120.0,Adilabad,Telangana,,,,,moderate,,,,moderate,,,,,,,,,,,1302,Hectare,Tonnes,Tonnes/Hectare
Chatra,Jharkhand,2019,kharif,rice,29523.0,98902.0,3.35,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Nawada,Bihar,2017,rabi,rapeseed &mustard,393.0,361.0,0.92,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,Hectare,Tonnes,Tonnes/Hectare
Darbhanga,Bihar,2015,rabi,barley,8.0,10.0,1.25,Cereals,19.419,16.8,49.738167,1.5365,Darbhanga,Bihar,120.0,Darbhanga,Bihar,,,,,,high_extreme,,,,,,,,,,,,,,107,Hectare,Tonnes,Tonnes/Hectare
Adilabad,Telangana,2019,rabi,groundnut,404.0,948.0,2.35,Oilseeds,21.51925,25.83,57.982918,1.6791667,Adilabad,Telangana,120.0,Adilabad,Telangana,,,,,moderate,,,,moderate,,,,,,,,,,,1001,Hectare,Tonnes,Tonnes/Hectare
Korea,Chhattisgarh,2018,rabi,masoor,134.0,24.0,0.18,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,Hectare,Tonnes,Tonnes/Hectare
Villupuram,Tamil Nadu,2018,rabi,moong(green gram),779.0,319.0,0.41,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
Munger,Bihar,2015,whole_year,tobacco,5.0,9.0,1.8,Drugs And Narcotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302,Hectare,Tonnes,Tonnes/Hectare
Firozepur,Punjab,2017,kharif,moong(green gram),500.0,600.0,1.2,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
Bilaspur,Chhattisgarh,2019,whole_year,jowar,4.0,6.0,1.5,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Hectare,Tonnes,Tonnes/Hectare
Dhanbad,Jharkhand,2019,kharif,groundnut,265.0,318.0,1.2,Oilseeds,29.25514,1183.41,67.208694,2.131869,Dhanbad,Jharkhand,214.0,Dhanbad,Jharkhand,,high_extreme,,,,,,,,,,,,,,,,,,1001,Hectare,Tonnes,Tonnes/Hectare
Koppal,Karnataka,2017,kharif,cotton(lint),3364.0,10301.0,3.06,Fiber Crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,Hectare,Tonnes,Tonnes/Hectare
Harda,Madhya Pradesh,2019,kharif,jowar,28.0,32.0,1.14,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Hectare,Tonnes,Tonnes/Hectare
Badgam,Jammu And Kashmir,2018,rabi,wheat,973.0,667.2,0.69,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Tehri Garhwal,Uttarakhand,2015,rabi,peas & beans (pulses),104.0,56.0,0.54,Pulses,7.70875,70.56,52.247917,1.35675,Tehri Garhwal,Uttarakhand,120.0,Tehri Garhwal,Uttarakhand,,,,,,,,,,,,,,,,,,high_extreme,,213,Hectare,Tonnes,Tonnes/Hectare
Dhubri,Assam,2019,rabi,linseed,250.0,162.0,0.65,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,Hectare,Tonnes,Tonnes/Hectare
Khandwa,Madhya Pradesh,2015,whole_year,sesamum,3000.0,1000.0,0.33,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,Hectare,Tonnes,Tonnes/Hectare
Kondagaon,Chhattisgarh,2017,kharif,sannhamp,22.0,14.0,0.64,Fiber Crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104,Hectare,Tonnes,Tonnes/Hectare
Damoh,Madhya Pradesh,2016,rabi,peas & beans (pulses),42000.0,19000.0,0.45,Pulses,18.797083,27.23,45.038166,1.42175,Damoh,Madhya Pradesh,120.0,Damoh,Madhya Pradesh,,,,moderate,extreme,,,,,,,,,,,,,,,213,Hectare,Tonnes,Tonnes/Hectare
Uttar Kashi,Uttarakhand,2020,kharif,other cereals,320.0,164.0,0.51,Cereals,29.942991,966.88,65.2643,1.9886916,Uttar Kashi,Uttarakhand,214.0,Uttar Kashi,Uttarakhand,,,,,,,,,,,,,,,,,,high_extreme,,188,Hectare,Tonnes,Tonnes/Hectare
Jalaun,Uttar Pradesh,2017,rabi,potato,448.0,5351.0,11.94,Vegetable,19.4245,14.71,35.475834,1.50025,Jalaun,Uttar Pradesh,120.0,Jalaun,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,701,Hectare,Tonnes,Tonnes/Hectare
Sonitpur,Assam,2015,kharif,castor seed,7.0,3.0,0.43,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,Hectare,Tonnes,Tonnes/Hectare
Dhamtari,Chhattisgarh,2018,whole_year,coriander,59.0,25.0,0.42,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,Hectare,Tonnes,Tonnes/Hectare
Rajkot,Gujarat,2019,whole_year,garlic,4346.0,31468.0,7.24,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,Hectare,Tonnes,Tonnes/Hectare
Kamrup Metro,Assam,2018,rabi,wheat,5.0,7.0,1.4,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Aurangabad,Maharashtra,2017,rabi,maize,7800.0,18500.0,2.37,Cereals,21.482666,1.84,43.252,1.7373333,Aurangabad,Maharashtra,120.0,Aurangabad,Maharashtra,,,,low,high_extreme,,,,,,,,,,,,,,,104,Hectare,Tonnes,Tonnes/Hectare
Surat,Gujarat,2015,kharif,moth,813.0,387.0,0.48,Pulses,28.89056,1296.91,72.76495,3.178645,Surat,Gujarat,214.0,Surat,Gujarat,,,,extreme,low,,,low,,,,,,,,,,,,209,Hectare,Tonnes,Tonnes/Hectare
East Garo Hills,Meghalaya,2019,rabi,castor seed,16.0,16.0,1.0,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,Hectare,Tonnes,Tonnes/Hectare
Gautam Buddha Nagar,Uttar Pradesh,2017,kharif,sugarcane,1812.0,161446.0,89.1,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Hectare,Tonnes,Tonnes/Hectare
Bishnupur,Manipur,2016,whole_year,potato,2470.0,20250.0,8.2,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,Hectare,Tonnes,Tonnes/Hectare
Kendujhar,Odisha,2015,zaid,urad,21.0,8.1,0.39,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Hectare,Tonnes,Tonnes/Hectare
Gir Somnath,Gujarat,2018,rabi,maize,190.0,485.0,2.55,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Hectare,Tonnes,Tonnes/Hectare
Tiruvannamalai,Tamil Nadu,2018,whole_year,black pepper,26.0,6.0,0.23,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,Hectare,Tonnes,Tonnes/Hectare
Chikkaballapura,Karnataka,2019,rabi,cowpea(lobia),16.0,8.0,0.5,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,Hectare,Tonnes,Tonnes/Hectare
Jabalpur,Madhya Pradesh,2018,whole_year,banana,188.04,6769.44,36.0,Fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,Hectare,Tonnes,Tonnes/Hectare
Deoria,Uttar Pradesh,2016,kharif,rice,133390.0,279319.0,2.09,Cereals,30.914534,993.06,59.7871,2.0888784,Deoria,Uttar Pradesh,214.0,Deoria,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Amravati,Maharashtra,2016,kharif,moong(green gram),29733.0,22336.0,0.75,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
Chamoli,Uttarakhand,2018,kharif,ragi,9437.0,12968.0,1.37,Cereals,11.142664,691.92,71.38575,1.8080841,Chamoli,Uttarakhand,214.0,Chamoli,Uttarakhand,,,,,,,,,,,,,,,,,,high_extreme,,105,Hectare,Tonnes,Tonnes/Hectare
Balangir,Odisha,2017,zaid,wheat,3.0,15.0,5.0,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Gondia,Maharashtra,2016,zaid,maize,600.0,900.0,1.5,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Hectare,Tonnes,Tonnes/Hectare
Shamli,Uttar Pradesh,2018,zaid,onion,11.0,130.0,11.82,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,Hectare,Tonnes,Tonnes/Hectare
Vellore,Tamil Nadu,2017,rabi,urad,1224.0,826.0,0.67,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Hectare,Tonnes,Tonnes/Hectare
Betul,Madhya Pradesh,2015,rabi,rapeseed &mustard,1000.0,1000.0,1.0,Oilseeds,20.474167,46.91,44.52133,1.8095,Betul,Madhya Pradesh,120.0,Betul,Madhya Pradesh,,,,,high_extreme,,very_low,,,,,,,,,,,,,1004,Hectare,Tonnes,Tonnes/Hectare
Nizamabad,Telangana,2015,kharif,soyabean,109589.0,116931.0,1.07,Oilseeds,29.199253,533.24,58.778927,2.7171962,Nizamabad,Telangana,214.0,Nizamabad,Telangana,,,,very_low,high_extreme,,,,,,,,,,,,,,,1009,Hectare,Tonnes,Tonnes/Hectare
Navsari,Gujarat,2018,kharif,groundnut,11.0,15.0,1.36,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,Hectare,Tonnes,Tonnes/Hectare
East Singhbum,Jharkhand,2019,kharif,arhar/tur,8200.0,9020.0,1.1,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare
Meerut,Uttar Pradesh,2015,rabi,gram,17.0,10.0,0.59,Pulses,16.741083,43.99,40.5815,1.79175,Meerut,Uttar Pradesh,120.0,Meerut,Uttar Pradesh,,,,,,,,,,,,,,,,,,high_extreme,,201,Hectare,Tonnes,Tonnes/Hectare
Tiruppur,Tamil Nadu,2017,whole_year,turmeric,251.0,1167.0,4.65,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,Hectare,Tonnes,Tonnes/Hectare
Latur,Maharashtra,2017,kharif,arhar/tur,111300.0,131400.0,1.18,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare
Balaghat,Madhya Pradesh,2019,rabi,rapeseed &mustard,2346.0,3064.0,1.31,Oilseeds,20.898188,140.59,56.994396,1.570934,Balaghat,Madhya Pradesh,182.0,Balaghat,Madhya Pradesh,,,,very_low,high_extreme,,,,,,,,,,,,,,,1004,Hectare,Tonnes,Tonnes/Hectare
West Godavari,Andhra Pradesh,2017,rabi,urad,25132.0,20558.0,0.82,Pulses,26.23912,136.61,73.3361,2.8312087,West Godavari,Andhra Pradesh,182.0,West Godavari,Andhra Pradesh,,,,,,,,moderate,moderate,,,,,,,,,,,203,Hectare,Tonnes,Tonnes/Hectare
Sirohi,Rajasthan,2019,kharif,urad,3293.0,2291.0,0.7,Pulses,29.241636,744.39,58.503082,2.411215,Sirohi,Rajasthan,214.0,Sirohi,Rajasthan,,,,,,,,,,,,,,,,,high_extreme,,,203,Hectare,Tonnes,Tonnes/Hectare
Gandhinagar,Gujarat,2018,rabi,gram,594.0,807.0,1.36,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,Hectare,Tonnes,Tonnes/Hectare
Pondicherry,Puducherry,2018,zaid,groundnut,13.0,42.0,3.23,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,Hectare,Tonnes,Tonnes/Hectare
Sidhi,Madhya Pradesh,2016,rabi,linseed,8000.0,3000.0,0.38,Oilseeds,18.184,25.52,49.64192,1.4408333,Sidhi,Madhya Pradesh,120.0,Sidhi,Madhya Pradesh,,extreme,,,low,,,,,,,,,,,,,,,1005,Hectare,Tonnes,Tonnes/Hectare
Jammu,Jammu And Kashmir,2016,rabi,cowpea(lobia),160.0,87.8,0.55,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,Hectare,Tonnes,Tonnes/Hectare
Maharajganj,Uttar Pradesh,2019,zaid,maize,384.0,947.0,2.47,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Hectare,Tonnes,Tonnes/Hectare
Tiruchirappalli,Tamil Nadu,2019,rabi,groundnut,1653.0,4348.0,2.63,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,Hectare,Tonnes,Tonnes/Hectare
Sant Ravidas Nagar,Uttar Pradesh,2019,kharif,moong(green gram),11.0,3.0,0.27,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
Siwan,Bihar,2016,rabi,potato,1603.0,19637.0,12.25,Vegetable,21.32552,63.9,49.7006,1.6411475,Siwan,Bihar,183.0,,,,,,,,,,,,,,,,,,,,,,701,Hectare,Tonnes,Tonnes/Hectare
Devbhumi Dwarka,Gujarat,2018,rabi,gram,253.0,403.0,1.59,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,Hectare,Tonnes,Tonnes/Hectare
Jhansi,Uttar Pradesh,2018,kharif,ginger,57.0,271.0,4.75,Spices,30.951496,907.92,55.100327,2.3582711,Jhansi,Uttar Pradesh,214.0,Jhansi,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,503,Hectare,Tonnes,Tonnes/Hectare
Shravasti,Uttar Pradesh,2017,kharif,dry chillies,2.0,2.0,1.0,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,Hectare,Tonnes,Tonnes/Hectare
Uttara Kannada,Karnataka,2019,zaid,maize,811.0,3210.0,3.96,Cereals,28.428411,199.36,69.552246,2.2045794,Uttara Kannada,Karnataka,107.0,Uttara Kannada,Karnataka,,,,,moderate,,,low,,,,low,,,,,,,,104,Hectare,Tonnes,Tonnes/Hectare
Sidhi,Madhya Pradesh,2017,rabi,other cereals,4100.0,2560.0,0.62,Cereals,19.054583,12.14,45.253582,1.4793333,Sidhi,Madhya Pradesh,120.0,Sidhi,Madhya Pradesh,,extreme,,,low,,,,,,,,,,,,,,,188,Hectare,Tonnes,Tonnes/Hectare
Hanumangarh,Rajasthan,2018,whole_year,sugarcane,27.0,2253.0,83.44,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Hectare,Tonnes,Tonnes/Hectare
Lucknow,Uttar Pradesh,2016,rabi,rapeseed &mustard,4714.0,4742.0,1.01,Oilseeds,21.275793,61.68,37.255245,1.5787432,Lucknow,Uttar Pradesh,183.0,Lucknow,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,1004,Hectare,Tonnes,Tonnes/Hectare
